source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,Mongolian text: Анагат Стайгүүр Их Суруулөөр Нь Ирэмбэлөөрөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-37.25,1.4513584791431533,0.05599017984018047,0.01182033096926714,0.15775488317012787,0.37606796622276306
"Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,Mongolian text: The Mongolian text is as follows:,-14.546875,3.752578417910222,0.20891225971919927,0.040540540540540536,0.3548053801059723,0.45811572670936584
"ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,"The Mongolian text is: 39 Си Грипен, 39 Си Грипен, 9 цаг 30 минута (UTC өөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө",-24.53125,1.2780206322556151,1.888887183267952,0.07352941176470587,0.24858126044273376,0.3406318426132202
Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,Mongolian text: Nizgigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigigig,-17.8125,1.1949746837349169,0.0,0.0,0.20322512090206146,0.2451094090938568
Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,Local media reports an airport fire vehicle rolled over while responding.,greedy,"Mongolian text: Nizheh othun, the Mongolian language, is a language of the Mongol people, who speak the Mongol language.",-50.375,5.0784190371800815,1.5732934811145336,0.03787878787878788,0.33251115679740906,0.3775758445262909
28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,"28 of the Mongolian tribes, the Vindaw tribes, were killed in the Battle of the Bulge.",-34.40625,4.193743408529551,2.664321121388895,0.07874015748031496,0.42680221796035767,0.3631478250026703
Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,Mongolian text: The Mongolian text is as follows: 49th century Quraysh of the Quraysh dynasty.,-32.875,3.541049233674378,2.55404966647159,0.09803921568627452,0.37991616129875183,0.3818601071834564
Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,The following Mongolian text is translated: Mongolian text: 11:00 UTC (UTC+1) The Mongolian version of the news service is the Mongolian version of the news service.,-38.53125,2.916290698438084,14.631973332919772,0.2303832116788321,0.43964430689811707,0.43166765570640564
Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,"Mongolian text: 11:00 am, the first of the morning prayers, the first of the morning prayers, the first of the morning prayers.",-31.5625,3.087100012199747,5.695928476566283,0.13071895424836602,0.4353792667388916,0.38945743441581726
"11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,11:20  UTC  UTC  the first time the first wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave of the wave,-47.84375,1.6135512576594688,1.7429074836835174,0.078125,0.29980796575546265,0.3309444487094879
"Эсэргүүцэгчид 11:29 цагийн орчимд Уитхалл руу хөдөлж, Трафалгарын талбай дээгүүр, Алдвичийн дэргэдүүр өнгөрч, Кингсвэй хот руу Гранд Коннаут Рүүмс зочид буудалд зохион байгуулагдаж байгаа Консерватив намын хаврын чуулганы зүг явлаа.","Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",greedy,"The following Mongolian text is translated: 11:29 pm, the Mongolian language translator, the Mongolian language translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the Mongolian translator, the",-45.84375,1.5816008020702579,2.4731715865840487,0.12976680384087794,0.2629648745059967,0.3139036297798157
Надаль Канадын эсрэг амжилт тогтоож 7–2 оноотой байна.,Nadal's head to head record against the Canadian is 7–2.,greedy,Mongolian text: Амжилт Канадын 7-2 on the final serve.,-16.546875,2.287235195645007,3.673526562988939,0.08403361344537816,0.4906998872756958,0.4794875383377075
Тэрээр саяхан Брисбэйний нээлттэй тэмцээнд Раоникт ялагджээ.,He recently lost against Raonic in the Brisbane Open.,greedy,Mongolian text: Төрөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-5.79296875,1.059640487119125,0.0,0.0,0.15831558406352997,0.3224518299102783
"Надал эхний гаргалтаараа 76 оноогоор тэмцээнд ялан, 88%-ийн цэвэр оноо авчээ.",Nadal bagged 88% net points in the match winning 76 points in the first serve.,greedy,"The Mongolian text is: 76% of the population is male, 88% of the population is female.",-16.96875,2.1625905205935125,4.780204393760627,0.245051085568327,0.4045373201370239,0.395486056804657
"Тэмцээний дараа Шаврын хаан ""Хамгийн чухал арга хэмжээний эцсийн шатанд эргэж ирж байгаадаа би баяртай байна. Энэ тэмцээнд ялахыг хичээхээр ирлээ"" гэжээ.","After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",greedy,"Mongolian text: Тегэрэрэрэр ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан ""Хаан """,-57.75,1.781578911395058,1.1216940038341034,0.013440860215053762,0.273976594209671,0.435638427734375
"""Панамын баримт"" бичиг бол 2016 оны хавар хэвлэлд цацагдсан Панамын ""Моссак Фонсека"" хуулийн фирмийн арван сая орчим баримт бичгүүдийн халхавч хэллэг юм.","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",greedy,"Mongolian text: ""Панам Баримт"" Бичиг Бол 2016 Оны Фонс Көөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө",-26.515625,1.3036346527801856,1.282321670701284,0.056603773584905655,0.21155141294002533,0.36539146304130554
Арван дөрвөн банк чинээлэг үйлчлүүлэгчиддээ татвар болон бусад зохицуулалтаас зайлсхийхийн тулд хэдэн тэрбум ам.долларын хөрөнгөө нуухад нь тусалсан болохыг уг баримт бичиг харуулжээ.,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,greedy,Mongolian text: Арван дөрөн Банк чинээлэг үйлчлүүлэгчидөө татвар Бөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-12.9375,1.1381168379661308,0.0,0.0,0.198088601231575,0.4074746370315552
Британийн Гуардиан сонин Дойче Банк үүнийг гүйцэтгэж байсан 1200 далд компаниудын бараг гуравны нэгийг хянадаг гэж үзжээ.,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,greedy,Mongolian text: Бритай Наузьег Гуардиан Сонин Дойч Банк үүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүүү,-27.0625,1.3107834344206983,0.0,0.0,0.202053040266037,0.3798008859157562
"Дэлхий даяар эсэргүүцлийн цуглаан болж, хэд хэдэн гэмт хэргийг яллаж, Исланд болон Пакистаны хоёулангийнх нь засгийн газрын удирдагч огцорчээ.","There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",greedy,Mongolian text: Төөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-6.515625,1.0673257810092747,0.0,0.0,0.15781593322753906,0.3333223760128021
"Хонконгт төрсөн Ма нь Нью-Йоркийн Их Сургууль болон Харвардын Хуулийн Сургуульд сурсан ба нэгэнтээ Америкийн байнгын оршин суугчийн ""ногоон карт""-тай байжээ.","Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",greedy,Mongolian text: Төрөөрөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-8.859375,1.0926366824979876,0.0,0.0,0.13333092629909515,0.36284202337265015
Хямралын үед сонгууль болох явцад Ма улсаасаа оргон гарч магадгүй гэж Хсие таамаглажээ.,Hsieh implied during the election that Ma might flee the country during a time of crisis.,greedy,Mongolian text: Төөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-6.71875,1.0694959898741423,0.0,0.0,0.1513177752494812,0.33597737550735474
Фото зургийн төрхтэй Ма нь мөн чанараас илүү хэв маяг байлаа гэж Хсие мөн маргажээ.,Hsieh also argued that the photogenic Ma was more style than substance.,greedy,Mongolian text: The photo is by the Mongolian artist Mürey Mürey.,-27.15625,4.17567622726534,3.673526562988939,0.07692307692307693,0.5112254619598389,0.3979971706867218
Эдгээр буруушаалтыг үл харгалзан Ма Хятадын эх газартай ойр дотно харилцаатай байхыг сурталчилсан платформ дээр чадварлагаар ялалт байгуулав.,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",greedy,Mongolian text: The Mongolian text is as follows:,-12.53125,3.124282152043353,0.0,0.05813953488372093,0.4576815664768219,0.42271554470062256
Өнөөдрийн Өдрийн тоглогч бол Вашингтон Капиталсын Алекс Овечкин юм.,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,greedy,Mongolian text: Оөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-5.21484375,1.0535321145805963,0.0,0.0,0.15181447565555573,0.28086045384407043
"Тэр Вашингтон Атланта Трэшерерийг 5-3 харьцаатайгаар ялж, 2 гоол оруулж, 2 дамжуулалт хийжээ.",He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,greedy,Mongolian text: Тэр Вашган Трэшерерийг 5-3 Төрөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөөө,-17.203125,1.1877149487261207,7.018383479103987,0.031055900621118012,0.20207355916500092,0.3923763036727905
Овечкин тэр шөнө түрүүлж тусалснаар шинэхэн тамирчин Никлас Бэкстром ялалтын гоол оруулжээ.,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,greedy,"Mongolian text: The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated as ""The Mongolian text is translated",-30.609375,1.3581096233570136,0.0,0.03968253968253969,0.28082606196403503,0.24647143483161926
"Түүний шөнийн хоёр дах зорилго нь 1995-96 оны улирлаас хойш 60 ба түүнээс илүү гоол хийсэн анхны тоглогч, өөрийнх нь хувьд улирлын 60 дах болох байсан бөгөөд Жаромир Жагр болон Марио Лемиекс нар уг амжилтанд хүрсэн байдаг байна.","his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",greedy,"The following Mongolian text is translated: 1995-1996: The Mongolian language was spoken in the region of the old city of Qom, 60 years ago, by a group of 60 Mongolian students, who were studying the language.",-61.34375,3.589434939582143,3.2194259570710924,0.1492537313432836,0.37444713711738586,0.38566845655441284
"2008 оны Хамгийн баян 400 Америкчуудын жагсаалтад Баттен 2,3 тэрбум ам.долларын хөрөнгөөр 190-рт жагсжээ.",Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,greedy,2008 Mongolian text: 400 Mongolian Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of the Kazakh Kazakhs of,-27.625,1.318177367179488,0.637007290453896,0.07692307692307694,0.21394571661949158,0.2896227240562439
