source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,greedy,Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba: Tugba:,-24.21875,1.274033051619661,0.7291698644541256,0.011933174224343677,0.2143254578113556,0.22637677192687988
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.",greedy,"Mongolian translation: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",-10.25,1.2326713867690846,1.095834704032271,0.03416856492027334,0.3593451678752899,0.20385676622390747
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.",greedy,"JAS 39C Gripen crash at around 9:30 am local time (0230 UTC) and exploded, closing airport to commercial flights.",-10.265625,1.4080242773172196,1.7790159445411227,0.078125,0.40488430857658386,0.28318268060684204
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,greedy,Pilots Dilokrit Pattavee and Dilokrit Pattavee were identified.,-11.4296875,1.723351313792904,4.767707020457095,0.05555555555555555,0.27437329292297363,0.26097023487091064
Local media reports an airport fire vehicle rolled over while responding.,Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,greedy,Mongolian media reports an airport fire vehicle rolled over while responding.,-6.69921875,1.6136773212757693,3.3864985683445354,0.041666666666666664,0.34965381026268005,0.2508663237094879
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,greedy,"Vidal, 28, had joined Barça three seasons ago, from Sevilla.",-5.3671875,1.4301974333193899,3.377156414337854,0.08849557522123894,0.5214319229125977,0.3384474217891693
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,greedy,"Vidal, who moved to the Catalan-capital, had played 49 games for the club.",-8.5859375,1.5712813725916346,2.908317710573758,0.08064516129032259,0.3913768529891968,0.3406623899936676
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,greedy,"Protest: Protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",-12.25,1.4190675485932571,14.038887505012548,0.14966442953020132,0.42006388306617737,0.32145392894744873
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,greedy,"11:00, protestors block traffic on the northbound carriage in Whitehall.",-13.6875,2.35247684568587,9.168336926470312,0.06802721088435373,0.3758261799812317,0.2858143448829651
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.",greedy,"11:20, polisi yegisiye baataliye baqolgani ba teyisiye baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqolgani baqol",-73.0,2.0750806076741224,5.350503117032991,0.03875968992248062,0.24572429060935974,0.3658668100833893
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Эсэргүүцэгчид 11:29 цагийн орчимд Уитхалл руу хөдөлж, Трафалгарын талбай дээгүүр, Алдвичийн дэргэдүүр өнгөрч, Кингсвэй хот руу Гранд Коннаут Рүүмс зочид буудалд зохион байгуулагдаж байгаа Консерватив намын хаврын чуулганы зүг явлаа.",greedy,"11:29, protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",-14.7109375,1.3269759667623224,4.119566303102714,0.07246376811594203,0.2752572298049927,0.23186379671096802
Nadal's head to head record against the Canadian is 7–2.,Надаль Канадын эсрэг амжилт тогтоож 7–2 оноотой байна.,greedy,Nadal's head to head record against the Canadian is 7–2.,-3.451171875,1.2795548919423945,4.456882760699064,0.10752688172043011,0.49788782000541687,0.2598994970321655
He recently lost against Raonic in the Brisbane Open.,Тэрээр саяхан Брисбэйний нээлттэй тэмцээнд Раоникт ялагджээ.,greedy,Raonic recently lost against him in Brisbane Open.,-6.77734375,1.8517333735440553,4.767707020457095,0.0617283950617284,0.4018210172653198,0.3793773055076599
Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Надал эхний гаргалтаараа 76 оноогоор тэмцээнд ялан, 88%-ийн цэвэр оноо авчээ.",greedy,Nadal bagged 88% net points in the match winning 76 points in the first serve.,-3.068359375,1.175263759627964,5.439330544349823,0.20764802631578946,0.41717812418937683,0.2569236159324646
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Тэмцээний дараа Шаврын хаан ""Хамгийн чухал арга хэмжээний эцсийн шатанд эргэж ирж байгаадаа би баяртай байна. Энэ тэмцээнд ялахыг хичээхээр ирлээ"" гэжээ.",greedy,"After the match, King of Clay said: ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",-9.890625,1.3161878729753085,1.4091499441909465,0.07380073800738007,0.3314872086048126,0.27728980779647827
