source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,Mongolian text: Davaa Gari Gari - The Mongolian language is a language of the nomadic people of Mongolia.,-36.5625,3.873531668226368,0.7028935604724835,0.09216589861751151,0.3377405107021332,0.4426828622817993
"Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,"Mongolian text: The Mongolian word for ""good luck"" is ""Gorug"" and it means ""good fortune"".",-32.1875,3.448642823762898,1.0348683363728879,0.06527415143603134,0.36820363998413086,0.4559667408466339
"ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,"Mongolian text: Mongolian text: 39S.G. Gripen N.O. 9C30 (UTC 02:30) - The flight was delayed by bad weather, landing at the airport of Ürümqi.",-48.03125,2.907696279448913,3.60737546551436,0.24182283785356767,0.5739315748214722,0.48759254813194275
Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,Mongolian text: The Mongolian language is a branch of the Uralic language.,-16.15625,2.4536321684441518,3.377156414337854,0.09615384615384616,0.41096749901771545,0.3657767176628113
Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,Local media reports an airport fire vehicle rolled over while responding.,greedy,Mongolian text: Nissh Ongochani Buludlyin Galuin Machin Ehnkhorsun Talaar Onnuginiin Khuvlyin Mamedeljezh.,-51.5625,3.2280395419261225,2.8398387225677895,0.04098360655737705,0.30810555815696716,0.5143572092056274
28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,Mongolian text: 28 Настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,-9.15625,1.2150847528444355,3.377156414337854,0.04098360655737705,0.5350813865661621,0.5178811550140381
Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,Mongolian text: Katusalany Niyislyel Runyuslyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyeshyes 49 teymts,-54.59375,1.7262259608563508,2.302077893514382,0.03496503496503496,0.22166380286216736,0.35549649596214294
Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,Mongolian text: 11am (UTC+1) Mongolian time.,-10.875,2.1744716473798213,7.955719713260465,0.17628458498023716,0.42059844732284546,0.47402799129486084
Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,"Mongolian time: 11:00 am, the Mongolian time.",-13.3671875,3.0463138674617336,10.74159750747916,0.14705882352941174,0.39140427112579346,0.4062551259994507
"11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,"Mongolian Time: 11:20 a.m. The clock struck twelve, and the crowd began to chant and dance, shouting and singing the song of the revolution.",-40.3125,3.1638375782683363,5.480281215444363,0.1577287066246057,0.5200198292732239,0.4432182013988495
