source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,greedy,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",-3.40625,1.0676978704639974,0.9798555761147508,0.024096385542168676,0.3385980427265167,0.23573562502861023
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.",greedy,"Leaders say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",-6.8203125,1.1636510277261998,1.0919894268138957,0.034482758620689655,0.35665109753608704,0.20287618041038513
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.",greedy,"JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",-6.6171875,1.2148530971227776,1.8232807384311607,0.0771604938271605,0.43056720495224,0.3168952167034149
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,greedy,Pilot Dilokrit Pattavee was identified as Squadron Leader.,-3.998046875,1.283868684870214,4.767707020457095,0.05555555555555555,0.4382067620754242,0.33176130056381226
Local media reports an airport fire vehicle rolled over while responding.,Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,greedy,Local media reports an airport fire vehicle rolled over while responding.,-1.9296875,1.160020294240325,3.3864985683445354,0.041666666666666664,0.3161918818950653,0.2427332103252411
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,greedy,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",-1.75390625,1.1334646658324785,3.377156414337854,0.04504504504504504,0.5237361788749695,0.31573641300201416
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,greedy,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",-3.087890625,1.18714288011956,3.125190763972442,0.08130081300813008,0.45163455605506897,0.5702876448631287
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,greedy,"Gornozgayit (11:00 p.m. local time (UTC+1)) started the protest in Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",-34.0625,2.1317525704751272,13.22148042039212,0.124,0.38575902581214905,0.32202500104904175
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,greedy,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",-3.7421875,1.2462370816596386,9.189691563924145,0.06711409395973154,0.394218772649765,0.28713974356651306
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.",greedy,"11:20, the police asked the protesters to move back to the pavement, stating that they needed to balance the right to protest with the traffic building up.",-6.78515625,1.2282750607168795,4.906081629292278,0.056818181818181816,0.4088791310787201,0.2276923954486847
