source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,The text is from the Mongolian translation of the text by the author.,-24.4375,4.605926067851898,0.6135751769388694,0.08177570093457943,0.38539835810661316,0.4613836109638214
"Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,The Mongolian text is the same as the English translation.,-13.6640625,2.860743999736343,0.35326112301683926,0.05390835579514826,0.3903503715991974,0.4768911898136139
"ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,The 39th Russian General Staff (G39) is in the area of the Crimean War (UTC 02:30 on 30 October) and is preparing to leave.,-57.15625,5.371279651334403,4.265552167438487,0.18933496441281136,0.5329538583755493,0.45722445845603943
Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,Mongolian text: The text is not in the original language.,-17.046875,3.710987734588641,4.02724819242185,0.09803921568627452,0.38637104630470276,0.35217174887657166
Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,Local media reports an airport fire vehicle rolled over while responding.,greedy,The Mongolian text is that the car was driven by a Mongolian driver.,-23.96875,4.095654241951973,2.8398387225677895,0.04098360655737705,0.49577394127845764,0.4249982535839081
28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,28 The Lord has sent His Son to save the world.,-23.78125,6.229692185033796,3.4089919964838553,0.041666666666666664,0.4021143913269043,0.4001307189464569
Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,The Mongolian text is as follows: The 49th year of the reign of the Emperor was the year of the death of the Emperor.,-35.4375,3.545307861223541,1.9011755113058344,0.09316770186335403,0.4376939833164215,0.39437830448150635
Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,The time is 11:00 UTC (+1) on Monday (Monday).,-18.921875,3.8634574693135315,11.028425953066984,0.13618677042801555,0.453740656375885,0.5363574028015137
Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,The work is scheduled to begin at 11:00 a.m. on Monday.,-14.8046875,2.522607197187464,9.672649511413097,0.14492753623188406,0.6062285304069519,0.4827999174594879
"11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,"11:20 The sun was rising in the west, and the sky was clear.",-23.046875,3.8794699342238776,3.8706417648293336,0.09900990099009901,0.41367319226264954,0.39897966384887695
